cycle_label,cycle_start,start_rate_pct,peak_date,peak_rate_pct,total_hike_bp,followed_by_recession,months_peak_to_recession,landing,note
Burns 1972-74,1972-02,3.29,1974-07,12.92,963,yes,concurrent (NBER recession began 1973-11 ~8mo before rate peak),hard,"Burns tightening into overheating + 1973 OPEC oil shock; peak ~13% (eff.), prime ~12%. Fed hiking mid-recession. NBER 1973-11 to 1975-03 (stagflation)."
Volcker I 1977-80,1977-01,4.61,1980-04,17.61,1300,yes,concurrent (NBER recession began 1980-01 ~3mo before rate peak),hard,"Miller->Volcker; Oct-1979 'Volcker shock' shift to reserve targeting. Monthly eff. peaked ~17.6% Apr-1980 (daily/target briefly ~20%). Brief sharp NBER recession 1980-01 to 1980-07; Carter credit controls."
Volcker II 1980-81,1980-07,9.03,1981-06,19.10,1007,yes,1,hard,"Double-dip: after mid-1980 easing to ~9%, re-hiked to ~19-20% by Jun-1981 to break inflation. NBER recession 1981-07 to 1982-11, unemployment >10%. Classic hard landing; inflation broken."
1983-84,1983-03,8.50,1984-08,11.50,300,no,n/a (no recession until 1990-07 71mo later),soft,"Volcker post-disinflation tightening 8.5%->11.5%. NO recession followed; one of only two 1980s+ episodes with no yield-curve inversion (St. Louis Fed). Early soft landing."
1988-89,1988-02,6.50,1989-02,9.85,331,yes,~17,hard,"Greenspan tightening in 18 steps, +331bp (St. Louis Fed). Post-1987-crash re-tightening vs inflation creep. NBER recession 1990-07 to 1991-03 (Gulf War oil spike compounded)."
1994-95,1994-02,3.00,1995-02,6.00,300,no,n/a (no recession until 2001-03 ~72mo later),soft,"THE classic soft landing (Greenspan): pre-emptive doubling 3%->6% in 7 moves, incl. 75bp Nov-1994. Expansion continued to 2001. The canonical benchmark case."
1999-2000,1999-06,4.75,2000-05,6.50,175,yes,~10,hard,"Late-cycle tightening into dot-com bubble; capped with 50bp May-2000. NBER recession 2001-03 to 2001-11 (dot-com bust; 9/11 compounded)."
2004-06,2004-06,1.00,2006-06,5.25,425,yes,~18,hard,"17 consecutive 25bp 'measured pace' hikes 1%->5.25%. Yield curve inverted 2006. NBER recession 2007-12 to 2009-06 = Global Financial Crisis (housing/credit)."
2015-18,2015-12,0.13,2018-12,2.38,225,exogenous,~14,exogenous,"Slow ZIRP-exit lift-off, target 0-0.25%->2.25-2.50%. NBER recession began 2020-02 but cause was COVID-19 pandemic (exogenous shock), NOT the tightening. Flag: timing-only, not a policy-induced hard landing."
2022-23,2022-03,0.13,2023-07,5.38,525,no (as of 2026-07),n/a (~36mo no recession yet),soft (so far),"Fastest cycle in 4 decades vs post-COVID inflation; target 0-0.25%->5.25-5.50%, +525bp. No recession as of mid-2026 -> judged a soft landing so far / 'immaculate disinflation'; status provisional."
