country,stage_decade,decade_from_nigeria_level,real_growth_pct,debt_gdp_pct,inflation_pct,savings_rate_pct,exports_pct_gdp,note
Japan,1960s,0-10yr,10.4,8,5.4,35,9.5,"Anchor ~1960 (~$5.9k 2011$PPP). High-growth miracle: heavy industry + export manufacturing, ~35% savings/investment engine; public debt tiny. Doubled GDP/cap by ~1968 (~8yr)."
Japan,1970s,10-20yr,4.5,30,9.0,36,12,"Oil shocks halve growth but still rapid; 1974 inflation ~23%; fiscal stimulus starts lifting debt. Already high-income - escaped trap ~1970."
Japan,1980s,20-30yr,4.6,65,2.0,32,13,"Mature high-income; chronic trade surpluses; Plaza Accord 1985; asset bubble inflates late-decade."
Japan,1990s,30-40yr,1.3,100,0.8,30,10,"Bubble bursts - 'Lost Decade'. Growth collapses; public debt EXPLODES (65->100%+) AFTER catch-up complete. Debt was a consequence of stagnation, not the growth model."
South Korea,1980s,0-10yr,8.6,18,8.4,34,32,"Anchor ~1980 (~$6.5k). Heavy-Chemical-Industry drive matures into chaebol export manufacturing; 1980 recession then boom; inflation tamed from ~28% (1980). Very low public debt."
South Korea,1990s,10-20yr,7.0,12,5.7,37,28,"Boom continues; savings ~37% > investment by late-decade; 1997 Asian crisis + IMF bailout a sharp but temporary shock. Debt still ~12%."
South Korea,2000s,20-30yr,4.7,22,3.1,33,40,"High-income (OECD 1996); electronics/autos/shipbuilding move up value chain. Clearly escaped middle-income trap. Doubled GDP/cap ~1980->1990 (~10yr)."
South Korea,2010s,30-40yr,3.0,40,1.7,36,47,"Advanced economy; growth normalises; aging demographics. Public debt still moderate (~40%) - low-debt catch-up throughout."
China,2005-2014,0-10yr,9.5,34,3.0,49,30,"Anchor ~2005 (~$6.6k). WTO-era boom: export manufacturing ('world's factory') + record ~45-50% investment/savings. Govt debt modest but total economy debt rising fast. Doubled GDP/cap ~2005->2013 (~8yr)."
China,2015-2024,10-20yr,6.0,60,1.8,44,20,"Growth slows; rebalancing toward domestic demand; property + LGFV/SOE debt buildup (broad total ~280% GDP). Reached upper-middle/high-income threshold (~$13k) ~2023-24. Trap-escape genuine but debt overhang is the open risk. Track incomplete (~20yr elapsed)."
United States,1890s,0-10yr,3.8,8,-1.0,20,6.5,"Anchor ~1890 (~$5.7k). Gilded Age industrialization on a huge INTERNAL market (not export-led); gold-standard deflation; very low federal debt. Immigration-fed labor + capital deepening."
United States,1900s,10-20yr,4.0,7,1.5,21,6.5,"Becomes world's largest economy; mass production, electrification. Low trade share - growth driven by continental scale + institutions/innovation."
United States,1910s,20-30yr,2.8,15,8.0,20,8,"WWI boom then 1920-21 slump; debt rises to ~33% (1919) financing war; high wartime inflation."
United States,1920s,30-40yr,4.2,22,0.0,20,5.5,"Roaring Twenties; federal debt paid down ~33%->16% by 1930; autos/consumer durables. Doubled GDP/cap ~1890->~1929 (~40yr, per-capita ~2%/yr; rest of GDP growth was population). Escaped decisively - the frontier."
United Kingdom,1870s,0-10yr,2.1,47,0.0,12,22,"Anchor ~1870 (~$5.0k). 'Workshop of the world' - free trade, HIGH export share but LOW domestic investment (capital exported to empire/US). Not catch-up but the leader being caught."
United Kingdom,1880s,10-20yr,2.0,38,-0.8,11,20,"'Long Depression' deflation; relative decline begins; Victorian debt paydown continues."
United Kingdom,1890s,20-30yr,2.2,33,0.5,12,19,"Overtaken by US and Germany in per-capita income; the 'British climacteric' - slowing productivity."
United Kingdom,1900s,30-40yr,1.4,30,1.2,11,24,"Edwardian maturity; slow growth; debt at ~200-year low (~30% by 1913). Doubled GDP/cap ~1870->~1935 (~60-65yr) - SLOWEST case: mature frontier, low investment, capital export."
Germany,1890s,0-10yr,3.4,45,1.0,22,16,"Anchor ~1890 (~$5.3k). Second Industrial Revolution: steel, chemicals, electricals; technical education + universal (Hausbank) finance; cartels. Strong fundamentals."
Germany,1900s,10-20yr,3.0,48,1.8,24,18,"Overtakes Britain in key industries; catches the income frontier (~$8.7k by 1913). High investment ~23%."
Germany,1910s,20-30yr,-2.0,160,,15,12,"WWI CATASTROPHE: debt-financed total war, defeat, Versailles reparations. Catch-up derailed. (1918-23 inflation -> hyperinflation, no clean CPI.)"
Germany,1920s,30-40yr,3.0,20,,15,15,"1923 HYPERINFLATION wipes nominal debt; brief Weimar recovery 1924-28 then 1929 Depression. Only reached its 1913 income again ~1930s, collapsed in WWII (1950=$3.9k). Cautionary: strong catch-up fundamentals RESET ~60yr by war/institutional collapse. High-income secured only via post-1950 Wirtschaftswunder."
Brazil,1975-80,0-10yr,6.5,30,45,20,8,"CONTRAST/STALLED case. Anchor ~1975 (~$5.9k). 'Brazilian miracle' ending: import-substitution industrialization funded by external borrowing; already high inflation; LOW savings ~20% vs Asia's 35-45%."
Brazil,1980s,10-20yr,1.5,50,320,18,10,"'LOST DECADE': 1982 external debt crisis, hyperinflation. Middle-income trap sets in - growth stops, exports don't upgrade."
Brazil,1990s,20-30yr,1.7,60,200,17,8,"Real Plan (1994) finally stabilizes inflation but growth stays weak; manufacturing export base thin."
Brazil,2000s-10s,30-40yr,2.5,70,6,18,12,"Commodity boom then stagnation. STILL STUCK in upper-middle income. ~$5.9k (1975) -> only ~$14k by 2019: ~40+yr to barely 2x vs Asia's ~8-10yr. Trap = low savings/investment, high inflation/debt, no sustained export-manufacturing upgrade."
