package,year,president,type,headline_size_usd_bn,size_pct_gdp,est_fiscal_multiplier,economic_context,note
Economic Recovery Tax Act (ERTA),1981,Reagan,tax_cut,750,2.9,0.4,expansion_into_recession,"Headline = 5-yr revenue loss (~$750bn CBO; ~$2tn over 10yr). size_pct_gdp = peak-yr revenue loss 2.9% of GDP (CRFB/Tempalski) — biggest US tax cut since 1913. 23% across-the-board rate cut; top rate 70%->50%. Signed Aug-1981; 1981-82 recession began Jul-1981. Multiplier range 0.3-0.5 (high-income/marginal-rate cut, largely saved). [SOURCED size; ESTIMATED multiplier]"
Economic Growth and Tax Relief Reconciliation Act (EGTRRA),2001,Bush (GW),tax_cut,1350,1.3,0.5,recession,"Headline = 10-yr score $1.35tn (Bush sought $1.6tn). size_pct_gdp annualized (~$135bn/yr / 2001 GDP $10.58tn). Top rate 39.6%->35%; incl. 2001 rebate checks ($300-600). Enacted during 2001 dot-com recession. Multiplier range 0.3-0.7 — rebate portion higher (~0.6-0.9), permanent rate cuts lower. [SOURCED size; ESTIMATED multiplier]"
Jobs and Growth Tax Relief Reconciliation Act (JGTRRA),2003,Bush (GW),tax_cut,350,0.3,0.35,early_expansion,"Headline = 10-yr score ~$350bn. size_pct_gdp annualized (~$35bn/yr / 2003 GDP $11.46tn). Cut cap-gains/dividend rates to 15%, accelerated EGTRRA rate cuts. Post-recession recovery, jobless. Multiplier range 0.2-0.5 (capital-income cut skewed to high earners, low MPC). [SOURCED size; ESTIMATED multiplier]"
American Recovery and Reinvestment Act (ARRA),2009,Obama,mixed,831,2.0,1.5,deep_recession_ZLB,"Headline = CBO final cost $831bn (originally scored $787bn), FY2009-19. size_pct_gdp = peak-yr (2010) fiscal impulse ~2% of GDP; total = 5.7% of 2009 GDP spread over years. ~1/3 tax cuts, ~2/3 spending (aid to states, UI, infrastructure). Multiplier range 0.4 (tax cuts to high earners) to 2.5 (aid to states/UI/infrastructure); aggregate CBO central ~1.5 given deep slack + ZLB. [SOURCED size; SOURCED CBO multiplier range]"
Tax Cuts and Jobs Act (TCJA),2017,Trump,tax_cut,1500,0.9,0.3,mature_expansion,"Headline = 10-yr JCT static ~$1.5tn (~$1.9tn dynamic w/ interest). size_pct_gdp ~0.9%/yr first decade (Tax Foundation 0.88%). Corporate rate 35%->21% (permanent) + individual cuts (expiring). Enacted at ~full employment. Multiplier range 0.2-0.5 — corporate + high-income cut in tight-labor expansion, low bang-per-buck. [SOURCED size; ESTIMATED multiplier]"
CARES Act,2020,Trump,mixed,2200,10.4,0.8,deep_pandemic_recession_ZLB,"Headline = ~$2.2tn authorized. size_pct_gdp single-yr ($2.2tn / 2020 GDP $21.06tn). Rebate checks ($1200), $600/wk UI top-up, PPP loans, state/business aid. Largest single US bill at the time. Multiplier range 0.4-1.5 — high slack argues high, but supply-constrained lockdown + elevated saving of transfers pulled realized multiplier down. [SOURCED size; ESTIMATED multiplier]"
Consolidated Appropriations Act 2021 (Dec-2020 COVID relief),2020,Trump,mixed,900,4.0,0.8,recession_early_recovery_ZLB,"Headline = ~$900bn COVID-relief portion (~$868bn net). size_pct_gdp single-yr (mostly disbursed 2021). $600 rebates, $300/wk UI, PPP second draw. Multiplier range 0.5-1.0 (transfers/UI in still-depressed economy). [SOURCED size; ESTIMATED multiplier]"
American Rescue Plan (ARP),2021,Biden,mixed,1900,8.0,0.75,recovery_ZLB_ending,"Headline = ~$1.9tn ($1.844tn). size_pct_gdp single-yr ($1.9tn / 2021 GDP $23.68tn). $1400 rebates, $300/wk UI, expanded Child Tax Credit, $350bn state/local aid. PGPF estimated ~$0.73 GDP per $1 (multiplier ~0.73) — economy already reopening/recovering, less slack, much saved. Range 0.3-1.0. Widely debated as inflation contributor. [SOURCED size; SOURCED PGPF multiplier]"
Infrastructure Investment and Jobs Act (IIJA),2021,Biden,spending,1200,0.4,1.0,expansion,"Headline = $1.2tn total (~$550bn NEW spending over baseline), disbursed over ~5-10yr. size_pct_gdp = annualized new spending (~$55-110bn/yr / ~$24tn); total = ~5% of one yr GDP spread over a decade. Roads, bridges, broadband, grid, water. Multiplier range 0.5-1.5 — infrastructure typically high (~1.0-1.5) but slow-disbursing and enacted near full employment lowers realized near-term impact. [SOURCED size; ESTIMATED multiplier]"
Inflation Reduction Act (IRA),2022,Biden,mixed,891,0.3,0.8,expansion,"Headline = ~$891bn total outlays (~$391bn energy/climate; ~$238bn Rx-drug/ACA/other); raises ~$738bn -> NET DEFICIT-REDUCING (~$238bn over 10yr). size_pct_gdp = annualized gross outlays (~$40-90bn/yr / ~$26tn). Clean-energy tax credits (uncapped), 15% corporate min tax, IRS funding. Multiplier applies to gross outlays; range 0.5-1.0 (subsidy/investment, slow, full-employment). [SOURCED size; ESTIMATED multiplier]"
